Type,Name,WorkProduct,Owner,Priority,Package,Risk,Description,Notes,Objective,Build,DateRun,Verdict,Duration,TestFolder
TestCase,Log-off Website,Log-off Website,tara@acme.com,Important,Account,Low,Verify that the customer is logged out of the system when they click the 'Logout' link at the top of the screen.,,,,,,,Login/Authentication
Result,,,tara@acme.com,,,,,,,112,-4,Fail,,
Result,,,tara@acme.com,,,,,,,115,-1,Pass,,
TestCase,Log-in to Secured Website,Log-in to Secured Website,tara@acme.com,Important,Account,Low,Verify that entering a correct username/password combo on the login screen grants a user access to the application.,,,,,,,Login/Authentication
Result,,,,,,,,,,112,-3,Fail,,
Result,,,,,,,,,,113,-2,Pass,,
Result,,,,,,,,,,114,-1,Pass,,
TestCase,Data fields for Shipping information,Data fields for Shipping information,tara@acme.com,Important,Shipping,Low,Verify that the customer is logged out of the system when they click the 'Logout' link at the top of the screen.,,,,,,,Checkout
Result,,,tara@acme.com,,,,,,,112,-2,Pass,,
Result,,,tara@acme.com,,,,,,,114,-1,Pass,,
TestCase,Check the Status of Your Orders,Check the Status of Your Order,tom@acme.com,Useful,Account,Low,,,,,,,,Order Status
Result,,,tom@acme.com,,,,,,,112,-3,Pass,,
Result,,,tom@acme.com,,,,,,,115,-1,Pass,,
TestCase,"System should support 10,000 concurrent users","System should support 10,000 concurrent users",tom@acme.com,Important,,Low,,,,,,,,
Result,,,,,,,,,,113,-3,Pass,,
Result,,,,,,,,,,114,-2,Pass,,
Result,,,,,,,,,,115,-1,Pass,,
TestCase,I18N Level 2 Language Support,I18N Level 2 Language Support,tom@acme.com,Useful,,Low,,,,,,,,
Result,,,tony@acme.com,,,,,,,113,-3,Pass,,
Result,,,tony@acme.com,,,,,,,114,-2,Pass,,
TestCase,Website must be available 24x7,Website must be available 24x7,tom@acme.com,Critical,,Low,,,,,,,,
Result,,,,,,,,,,113,-3,Pass,,
Result,,,,,,,,,,114,-2,Pass,,
Result,,,,,,,,,,115,-1,Fail,,
TestCase,Check Invoice Creation,Ship Multi-Site Orders,tara@acme.com,Important,Shipping,Low,,,,,,,,
Result,,,tom@acme.com,,,,,,,113,-3,Pass,,Payment Processing
Result,,,tom@acme.com,,,,,,,114,-2,Pass,,
TestCase,Tracking Information,Ship Multi-Site Orders,tara@acme.com,Important,Shipping,Low,,,,,,,,Order Status
Result,,,tom@acme.com,,,,,,,113,-3,Pass,,
Result,,,tom@acme.com,,,,,,,114,0,Fail,,
TestCase,Order Verification,Ship Multi-Site Orders,tara@acme.com,Critical,Shipping,Low,,,,,,,,Fulfillment
Result,,,tony@acme.com,,,,,,,113,-3,Pass,,
Result,,,tom@acme.com,,,,,,,114,0,Pass,,
TestCase,Order Verification - Backordered Item Handling,Ship Multi-Site Orders,tara@acme.com,Critical,Shipping,Low,,,,,,,,Order Status
Result,,,tony@acme.com,,,,,,,113,-3,Fail,,
Result,,,tom@acme.com,,,,,,,114,0,Fail,,
TestCase,Priority Shipping chosen on a per-package basis,Ship Multi-Site Orders,tara@acme.com,Important,Shipping,Low,,,,,,,,Checkout
Result,,,tony@acme.com,,,,,,,113,-2,Fail,,
Result,,,tom@acme.com,,,,,,,114,0,Fail,,
TestCase,No Address Entered,Validate Customer Contact/Shipping info,tara@acme.com,Important,Shipping,Low,,,,,,,,Checkout
Result,,,,,,,,,,113,-3,Pass,,
Result,,,,,,,,,,114,-2,Pass,,
Result,,,,,,,,,,115,-1,Pass,,
TestCase,Shipping Address and Billing Address must match,Validate Customer Contact/Shipping info,tony@acme.com,Important,Shipping,Low,,,,,,,,Checkout
Result,,,,,,,,,,113,-3,Pass,,
Result,,,,,,,,,,114,-2,Pass,,
Result,,,,,,,,,,115,-1,Pass,,
TestCase,Validate Email Address - Email Authentication,Validate Customer Contact/Shipping info,tara@acme.com,Important,Account,Low,,,,,,,,Login/Authentication
Result,,,tony@acme.com,,,,,,,113,-2,Fail,,
Result,,,tom@acme.com,,,,,,,114,0,Pass,,
TestCase,Validate Email Address - Invalid Address Handling,Validate Customer Contact/Shipping info,tara@acme.com,Useful,Account,Low,,,,,,,,Login/Authentication
Result,,,tony@acme.com,,,,,,,113,-4,Fail,,
Result,,,tom@acme.com,,,,,,,114,-1,Pass,,
TestCase,Validate Email Address - Permissions,Validate Customer Contact/Shipping info,tara@acme.com,Important,Account,Low,,,,,,,,Login/Authentication
Result,,,tony@acme.com,,,,,,,113,-4,Fail,,
Result,,,tony@acme.com,,,,,,,114,-2,Pass,,
TestCase,Search for Items,Search for Items,tom@acme.com,Important,Shopping,Low,,,,,,,,Shopping
Result,,,tara@acme.com,,,,,,,113,-4,Fail,,
Result,,,tara@acme.com,,,,,,,114,-2,Pass,,
TestCase,Purchase One Item,Purchase Your Items,tony@acme.com,Important,Shopping,Low,,,,,,,,Checkout
Result,,,tom@acme.com,,,,,,,113,-4,Fail,,
Result,,,tom@acme.com,,,,,,,114,-2,Fail,,
TestCase,Purchase Multiple Items,Purchase Your Items,paul@acme.com,Important,Shopping,Low,,,,,,,,Checkout
Result,,,tom@acme.com,,,,,,,113,-4,Fail,,
Result,,,tara@acme.com,,,,,,,114,-2,Fail,,
TestCase,Purchase MAX Items,Purchase Your Items,paul@acme.com,Important,Shopping,Low,,,,,,,,
Result,,,paul@acme.com,,,,,,,117,-2,Fail,,
Result,,,paul@acme.com,,,,,,,118,-1,Fail,,
TestCase,Select MAX+1 Items,Purchase Your Items,gigi@acme.com,Important,Shopping,Low,,,,,,,,
Result,,,gigi@acme.com,,,,,,,117,-2,Fail,,
Result,,,gigi@acme.com,,,,,,,118,-1,Fail,,
TestCase,GUI - Checkout Button,Purchase Your Items,tony@acme.com,Critical,Shopping,Low,,,,,,,,Checkout
Result,,,,,,,,,,118,-3,Pass,,
Result,,,,,,,,,,119,-2,Pass,,
Result,,,,,,,,,,120,-1,Pass,,
TestCase,GUI - Checkout Button for Empty Cart,Purchase Your Items,gigi@acme.com,Useful,Shopping,Low,,,,,,,,Checkout
Result,,,,,,,,,,113,-3,Pass,,
Result,,,,,,,,,,114,-2,Pass,,
Result,,,,,,,,,,115,-1,Pass,,
TestCase,Priority Shipping GUI,Choosing to Ship to Multiple Destinations,tara@acme.com,Critical,Shipping,Low,,,,,,,,Fulfillment
Result,,,,,,,,,,113,-3,Pass,,
Result,,,,,,,,,,114,-2,Pass,,
Result,,,,,,,,,,115,-1,Pass,,
TestCase,Default Shipping - Ground,Allow Priority Shipping Options,tara@acme.com,Useful,Shipping,Low,,,,,,,,Checkout
Result,,,tara@acme.com,,,,,,,117,-2,Fail,,
Result,,,tara@acme.com,,,,,,,118,-1,Fail,,
TestCase,Promo Code GUI,Payment - Promotional Codes,tom@acme.com,Important,Shopping,Low,,,,,,,,Checkout
Result,,,,,,,,,,113,-3,Pass,,
Result,,,,,,,,,,114,-2,Pass,,
Result,,,,,,,,,,115,-1,Fail,,
TestCase,Invalid Promo Code,Payment - Promotional Codes,tara@acme.com,Useful,Shopping,Low,,,,,,,,Checkout
Result,,,,,,,,,,113,-3,Pass,,
Result,,,,,,,,,,114,-2,Pass,,
Result,,,,,,,,,,115,-1,Fail,,
TestCase,One Promo Code per order,Payment - Promotional Codes,tara@acme.com,Important,Shopping,Low,,,,,,,,
Result,,,,,,,,,,113,-3,Pass
Result,,,,,,,,,,114,-2,Pass
Result,,,,,,,,,,115,-1,Fail
TestCase,Priority Shipping Options for each Destination,Choosing to Ship to Multiple Destinations,tara@acme.com,Critical,Shipping,Low,,,,,,
Result,,,tara@acme.com,,,,,,,117,-1,Pass
Result,,,tara@acme.com,,,,,,,118,0,Pass
TestCase,Max Number of Shipping Destinations,Choosing to Ship to Multiple Destinations,,Useful,Shipping,Low,,,,,,
Result,,,,,,,,,,113,-3,Pass
Result,,,,,,,,,,114,-2,Pass
Result,,,,,,,,,,115,-1,Fail
TestCase,GUI - Multi-Site Shipping Options,Choosing to Ship to Multiple Destinations,tony@acme.com,Critical,Shipping,Low,,,,,,
Result,,,,,,,,,,113,-3,Pass
Result,,,,,,,,,,114,-2,Pass
Result,,,,,,,,,,115,-1,Fail
