Name,Theme,StartDate(YYYY-MM-DD),EndDate(YYYY-MM-DD),Resources,State
Iteration 1 (R1),<ul><li>Be able to Log-in and Log-off</li><li>Security implemented</li></ul>,-11,-9,10,Accepted
Iteration 2 (R1),<ul><li>Shop for Items</li><li>Start Shipping functionality</li><li>Purchase your Items - Part 1</li></ul>,-9,-7,10,Accepted
Iteration 3 (R1),<ul><li>Be able to Ship an Order</li><li>Provide Credit Card support</li></ul>,-7,-5,10,Accepted
Iteration 4 (R1),<ul><li>Hardening for ML</li></ul>,-5,-3,10,Accepted
Iteration 5 (R2),<ul><li>Internationalize</li></ul>,-3,-1,12,Accepted
Iteration 6 (R2),<ul><li>Be able to complete the purchase</li><li>Be able to search for an item</li><li>Spikes</li></ul>,-1,1,12,Committed
Iteration 7 (R2),<ul><li>Hardening for OM</li></ul>,1,3,12,Planning
Iteration 8 (R3),<ul><li>Similar Products</li></ul>,3,5,12,Planning
Iteration 9 (R3),<ul><li>Personal Shopping Assistant</li></ul>,5,7,12,Planning
Iteration 10 (R3),<ul><li>Custom Ordering</li></ul>,7,9,12,Planning
