Type,Name,WorkProduct,Owner,Priority,Package,Risk,Description,Notes,Objective,PreConditions,PostConditions,ValidationInput,ValidationExpectedResult,TestFolder,StepInput,StepExpectedResult,Build,DateRun,Verdict,Duration
TestCase,Log-off Website,Log-off Website,tara@acme.com,Important,Account,Low,Verify that the customer is logged out of the system when they click the 'Logout' link at the top of the screen.,<a href='https://rally1.rallydev.com/slm/detail/ar/742215'>Log-off Website</a><br>,,,,,,Login/Authentication//,,,,,,
Result,,,tara@acme.com,,,,,,,,,,,,,115,2009-07-22T05:10:21.000Z,Pass,0,
Result,,,tara@acme.com,,,,,,,,,,,,,112,2009-07-19T05:10:20.000Z,Fail,0,
TestCase,Log-in to Secured Website,Log-in to Secured Website,tara@acme.com,Important,Account,Low,Verify that entering a correct username/password combo on the login screen grants a user access to the application.,<a href='https://rally1.rallydev.com/slm/detail/ar/742154'>Log-in to Secured Website</a><br>,,,,,,Login/Authentication//,,,,,,
Result,,,,,,,,,,,,,,,,114,2009-07-22T05:10:22.000Z,Pass,0,
Result,,,,,,,,,,,,,,,,112,2009-07-20T05:10:21.000Z,Fail,0,
Result,,,,,,,,,,,,,,,,113,2009-07-21T05:10:22.000Z,Pass,0,
TestCase,Data fields for Shipping information,Data fields for Shipping information,tara@acme.com,Important,Shipping,Low,Verify that the customer is logged out of the system when they click the 'Logout' link at the top of the screen.,<a href='https://rally1.rallydev.com/slm/detail/ar/742357'>Data fields for Shipping information</a><br>,,,,,,Checkout//,,,,,,
Result,,,tara@acme.com,,,,,,,,,,,,,114,2009-07-22T05:10:23.000Z,Pass,0,
Result,,,tara@acme.com,,,,,,,,,,,,,112,2009-07-21T05:10:23.000Z,Pass,0,
TestCase,Check the Status of Your Orders,Check the Status of Your Order,tom@acme.com,Useful,Account,Low,,<a href='https://rally1.rallydev.com/slm/detail/ar/742417'>Check the Status of Your Order</a><br>,,,,,,Order Status//,,,,,,
Result,,,tom@acme.com,,,,,,,,,,,,,112,2009-07-20T05:10:24.000Z,Pass,0,
Result,,,tom@acme.com,,,,,,,,,,,,,115,2009-07-22T05:10:24.000Z,Pass,0,
TestCase,"System should support 10,000 concurrent users","System should support 10,000 concurrent users",tom@acme.com,Important,,Low,,"<a href='https://rally1.rallydev.com/slm/detail/ar/742760'>System should support 10,000 concurrent users</a><br>",,,,,,"",,,,,,
Result,,,,,,,,,,,,,,,,114,2009-07-21T05:10:25.000Z,Pass,0,
Result,,,,,,,,,,,,,,,,115,2009-07-22T05:10:25.000Z,Pass,0,
Result,,,,,,,,,,,,,,,,113,2009-07-20T05:10:25.000Z,Pass,0,
TestCase,I18N Level 2 Language Support,"",tom@acme.com,Useful,,Low,,<br>,,,,,,"",,,,,,
Result,,,tony@acme.com,,,,,,,,,,,,,113,2009-07-20T05:10:26.000Z,Pass,0,
Result,,,tony@acme.com,,,,,,,,,,,,,114,2009-07-21T05:10:26.000Z,Pass,0,
TestCase,Website must be available 24x7,Website must be available 24x7,tom@acme.com,Critical,,Low,,<a href='https://rally1.rallydev.com/slm/detail/ar/742674'>Website must be available 24x7</a><br>,,,,,,"",,,,,,
Result,,,,,,,,,,,,,,,,113,2009-07-20T05:10:26.000Z,Pass,0,
Result,,,,,,,,,,,,,,,,114,2009-07-21T05:10:27.000Z,Pass,0,
Result,,,,,,,,,,,,,,,,115,2009-07-22T05:10:27.000Z,Fail,0,
TestCase,Check Invoice Creation,"",tara@acme.com,Important,Shipping,Low,,<br>,,,,,,"",,,,,,
Result,,,tom@acme.com,,,,,,,,,,,,,113,2009-07-20T05:10:27.000Z,Pass,0,
Result,,,tom@acme.com,,,,,,,,,,,,,114,2009-07-21T05:10:27.000Z,Pass,0,
TestCase,Order Verification,"",tara@acme.com,Critical,Shipping,Low,,<br>,,,,,,Fulfillment//,,,,,,
Result,,,tony@acme.com,,,,,,,,,,,,,113,2009-07-20T05:10:28.000Z,Pass,0,
Result,,,tom@acme.com,,,,,,,,,,,,,114,2009-07-23T05:10:28.000Z,Pass,0,
TestCase,Tracking Information,"",tara@acme.com,Important,Shipping,Low,,<br>,,,,,,Order Status//,,,,,,
Result,,,tom@acme.com,,,,,,,,,,,,,113,2009-07-20T05:10:28.000Z,Pass,0,
Result,,,tom@acme.com,,,,,,,,,,,,,114,2009-07-23T05:10:28.000Z,Fail,0,
TestCase,Priority Shipping chosen on a per-package basis,"",tara@acme.com,Important,Shipping,Low,,<br>,,,,,,Checkout//,,,,,,
Result,,,tony@acme.com,,,,,,,,,,,,,113,2009-07-21T05:10:29.000Z,Fail,0,
Result,,,tom@acme.com,,,,,,,,,,,,,114,2009-07-23T05:10:29.000Z,Fail,0,
TestCase,Order Verification - Backordered Item Handling,"",tara@acme.com,Critical,Shipping,Low,,<br>,,,,,,Order Status//,,,,,,
Result,,,tom@acme.com,,,,,,,,,,,,,114,2009-07-23T05:10:29.000Z,Fail,0,
Result,,,tony@acme.com,,,,,,,,,,,,,113,2009-07-20T05:10:29.000Z,Fail,0,
TestCase,No Address Entered,Validate Customer Contact/Shipping info,tara@acme.com,Important,Shipping,Low,,<a href='https://rally1.rallydev.com/slm/detail/ar/742898'>Validate Customer Contact/Shipping info</a><br>,,,,,,Checkout//,,,,,,
Result,,,,,,,,,,,,,,,,113,2009-07-20T05:10:30.000Z,Pass,0,
Result,,,,,,,,,,,,,,,,114,2009-07-21T05:10:30.000Z,Pass,0,
Result,,,,,,,,,,,,,,,,115,2009-07-22T05:10:30.000Z,Pass,0,
TestCase,Shipping Address and Billing Address must match,Validate Customer Contact/Shipping info,tony@acme.com,Important,Shipping,Low,,<a href='https://rally1.rallydev.com/slm/detail/ar/742898'>Validate Customer Contact/Shipping info</a><br>,,,,,,Checkout//,,,,,,
Result,,,,,,,,,,,,,,,,115,2009-07-22T05:10:31.000Z,Pass,0,
Result,,,,,,,,,,,,,,,,113,2009-07-20T05:10:31.000Z,Pass,0,
Result,,,,,,,,,,,,,,,,114,2009-07-21T05:10:31.000Z,Pass,0,
TestCase,Validate Email Address - Email Authentication,Validate Customer Contact/Shipping info,tara@acme.com,Important,Account,Low,,<a href='https://rally1.rallydev.com/slm/detail/ar/742898'>Validate Customer Contact/Shipping info</a><br>,,,,,,Login/Authentication//,,,,,,
Result,,,tony@acme.com,,,,,,,,,,,,,113,2009-07-21T05:10:31.000Z,Fail,0,
Result,,,tom@acme.com,,,,,,,,,,,,,114,2009-07-23T05:10:32.000Z,Pass,0,
TestCase,Validate Email Address - Invalid Address Handling,Validate Customer Contact/Shipping info,tara@acme.com,Useful,Account,Low,,<a href='https://rally1.rallydev.com/slm/detail/ar/742898'>Validate Customer Contact/Shipping info</a><br>,,,,,,Login/Authentication//,,,,,,
Result,,,tom@acme.com,,,,,,,,,,,,,114,2009-07-22T05:10:32.000Z,Pass,0,
Result,,,tony@acme.com,,,,,,,,,,,,,113,2009-07-19T05:10:32.000Z,Fail,0,
TestCase,Validate Email Address - Permissions,Validate Customer Contact/Shipping info,tara@acme.com,Important,Account,Low,,<a href='https://rally1.rallydev.com/slm/detail/ar/742898'>Validate Customer Contact/Shipping info</a><br>,,,,,,Login/Authentication//,,,,,,
Result,,,tony@acme.com,,,,,,,,,,,,,113,2009-07-19T05:10:33.000Z,Fail,0,
Result,,,tony@acme.com,,,,,,,,,,,,,114,2009-07-21T05:10:33.000Z,Pass,0,
TestCase,Search for Items,Search for Items,tom@acme.com,Important,Shopping,Low,,<a href='https://rally1.rallydev.com/slm/detail/ar/743140'>Search for Items</a><br>,,,,,,Shopping//,,,,,,
Result,,,tara@acme.com,,,,,,,,,,,,,114,2009-07-21T05:10:33.000Z,Pass,0,
Result,,,tara@acme.com,,,,,,,,,,,,,113,2009-07-19T05:10:33.000Z,Fail,0,
TestCase,Purchase Multiple Items,Purchase Your Items,paul@acme.com,Important,Shopping,Low,,<a href='https://rally1.rallydev.com/slm/detail/ar/742959'>Purchase Your Items</a><br>,,,,,,Checkout//,,,,,,
Result,,,tom@acme.com,,,,,,,,,,,,,113,2009-07-19T05:10:35.000Z,Fail,0,
Result,,,tara@acme.com,,,,,,,,,,,,,114,2009-07-21T05:10:35.000Z,Fail,0,
TestCase,Purchase One Item,Purchase Your Items,tony@acme.com,Important,Shopping,Low,,<a href='https://rally1.rallydev.com/slm/detail/ar/742959'>Purchase Your Items</a><br>,,,,,,Checkout//,,,,,,
Result,,,tom@acme.com,,,,,,,,,,,,,113,2009-07-19T05:10:34.000Z,Fail,0,
Result,,,tom@acme.com,,,,,,,,,,,,,114,2009-07-21T05:10:34.000Z,Fail,0,
TestCase,Purchase MAX Items,Purchase Your Items,paul@acme.com,Important,Shopping,Low,,<a href='https://rally1.rallydev.com/slm/detail/ar/742959'>Purchase Your Items</a><br>,,,,,,"",,,,,,
Result,,,paul@acme.com,,,,,,,,,,,,,117,2009-07-21T05:10:35.000Z,Fail,0,
Result,,,paul@acme.com,,,,,,,,,,,,,118,2009-07-22T05:10:36.000Z,Fail,0,
TestCase,GUI - Checkout Button,Purchase Your Items,tony@acme.com,Critical,Shopping,Low,,<a href='https://rally1.rallydev.com/slm/detail/ar/742959'>Purchase Your Items</a><br>,,,,,,Checkout//,,,,,,
Result,,,,,,,,,,,,,,,,118,2009-07-20T05:10:37.000Z,Pass,0,
Result,,,,,,,,,,,,,,,,119,2009-07-21T05:10:37.000Z,Pass,0,
Result,,,,,,,,,,,,,,,,120,2009-07-22T05:10:37.000Z,Pass,0,
TestCase,Select MAX+1 Items,Purchase Your Items,gigi@acme.com,Important,Shopping,Low,,<a href='https://rally1.rallydev.com/slm/detail/ar/742959'>Purchase Your Items</a><br>,,,,,,"",,,,,,
Result,,,gigi@acme.com,,,,,,,,,,,,,117,2009-07-21T05:10:36.000Z,Fail,0,
Result,,,gigi@acme.com,,,,,,,,,,,,,118,2009-07-22T05:10:36.000Z,Fail,0,
TestCase,GUI - Checkout Button for Empty Cart,Purchase Your Items,gigi@acme.com,Useful,Shopping,Low,,<a href='https://rally1.rallydev.com/slm/detail/ar/742959'>Purchase Your Items</a><br>,,,,,,Checkout//,,,,,,
Result,,,,,,,,,,,,,,,,113,2009-07-20T05:10:37.000Z,Pass,0,
Result,,,,,,,,,,,,,,,,114,2009-07-21T05:10:37.000Z,Pass,0,
Result,,,,,,,,,,,,,,,,115,2009-07-22T05:10:37.000Z,Pass,0,
